ID,Host,Era,Location,Color_Code
SRR3330052,Human,Modern,Global,#808080
SRR3330053,Human,Modern,Global,#808080
SRR3672737,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672752,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672739,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672758,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672757,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672738,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672749,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672755,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672756,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672753,Red Squirrel,Modern,United Kingdom,#FF0000
SRR3672754,Red Squirrel,Modern,United Kingdom,#FF0000
SRR6241739,Human,Modern,Global,#808080
SRR6241727,Human,Modern,Global,#808080
SRR6241763,Human,Modern,Global,#808080
SRR6241748,Human,Modern,Global,#808080
SRR6241745,Human,Modern,Global,#808080
SRR6241747,Human,Modern,Global,#808080
SRR6241741,Human,Modern,Global,#808080
SRR6241730,Human,Modern,Global,#808080
SRR6241803,Human,Modern,Global,#808080
SRR6241762,Human,Modern,Global,#808080
SRR6241740,Human,Modern,Global,#808080
SRR6241759,Human,Modern,Global,#808080
SRR6241760,Human,Modern,Global,#808080
SRR847034,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847050,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847052,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847051,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241718,Human,Modern,Global,#808080
SRR847035,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847036,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847064,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847069,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6233936,Human,Modern,Global,#808080
SRR847056,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847038,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241713,Human,Modern,Global,#808080
SRR6241821,Human,Modern,Global,#808080
SRR6241710,Human,Modern,Global,#808080
SRR6241817,Human,Modern,Global,#808080
SRR6241711,Human,Modern,Global,#808080
SRR6241823,Human,Modern,Global,#808080
SRR6241716,Human,Modern,Global,#808080
SRR6241796,Human,Modern,Global,#808080
SRR6241766,Human,Modern,Global,#808080
SRR847079,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR6241751,Human,Modern,Global,#808080
SRR6241752,Human,Modern,Global,#808080
SRR6241819,Human,Modern,Global,#808080
SRR6241822,Human,Modern,Global,#808080
SRR6241824,Human,Modern,Global,#808080
SRR6241825,Human,Modern,Global,#808080
SRR6241723,Human,Modern,Global,#808080
SRR847037,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847068,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847046,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847066,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847058,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847070,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847055,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847041,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847063,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847067,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847065,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847039,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847040,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847045,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847049,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847042,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847044,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847053,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847047,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847048,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847043,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
SRR847054,Human,Medieval (10th-12th C.),"Winchester, UK",#0000FF
